id,created_at,username,text,topic,likes,retweets,date,processed_text,compound,pos,neu,neg,sentiment
1016,2025-04-16 13:00:21,user_72,Politicians continue to ignore the climate crisis. Shameful!,climate change,45,20,2025-04-16,politicians continue to ignore the climate crisis shameful,-0.8689,0.0,0.338,0.662,Negative
1017,2025-04-12 13:00:21,user_87,The latest phone has same features but costs more. Not worth upgrading.,technology,11,3,2025-04-12,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1018,2025-04-18 13:00:21,user_3,So proud of youth activists fighting for climate justice!,climate change,1,0,2025-04-18,so proud of youth activists fighting for climate justice,0.6478,0.444,0.392,0.163,Positive
1019,2025-04-16 13:00:21,user_79,This new AI assistant is amazing! Saving me hours of work.,technology,101,21,2025-04-16,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1020,2025-04-17 13:00:21,user_60,University enrollment numbers remain stable compared to last year.,education,31,6,2025-04-17,university enrollment numbers remain stable compared to last year,0.296,0.216,0.784,0.0,Positive
1021,2025-04-19 13:00:21,user_54,Medical bills are crushing families. System needs reform now!,healthcare,31,15,2025-04-19,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1022,2025-04-14 13:00:21,user_47,Interesting developments in quantum computing announced today.,technology,63,20,2025-04-14,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1023,2025-04-21 13:00:21,user_67,Grateful for the healthcare workers during these challenging times!,healthcare,14,6,2025-04-21,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1024,2025-04-16 13:00:21,user_94,This new AI assistant is amazing! Saving me hours of work.,technology,41,6,2025-04-16,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1025,2025-04-21 13:00:21,user_49,Medical bills are crushing families. System needs reform now!,healthcare,24,3,2025-04-21,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1026,2025-04-15 13:00:21,user_1,The latest phone has same features but costs more. Not worth upgrading.,technology,2,0,2025-04-15,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1027,2025-04-18 13:00:21,user_97,The latest phone has same features but costs more. Not worth upgrading.,technology,6,1,2025-04-18,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1028,2025-04-20 13:00:21,user_21,University enrollment numbers remain stable compared to last year.,education,7,3,2025-04-20,university enrollment numbers remain stable compared to last year,0.296,0.216,0.784,0.0,Positive
1029,2025-04-17 13:00:21,user_78,Excited about new breakthroughs in renewable energy! #ClimateAction,climate change,34,14,2025-04-17,excited about new breakthroughs in renewable energy climateaction,0.5423,0.429,0.571,0.0,Positive
1030,2025-04-13 13:00:21,user_21,Disgusted by the corruption in government. We deserve better!,politics,14,5,2025-04-13,disgusted by the corruption in government we deserve better,-0.128,0.218,0.526,0.256,Negative
1031,2025-04-16 13:00:21,user_17,Medical bills are crushing families. System needs reform now!,healthcare,85,42,2025-04-16,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1032,2025-04-16 13:00:21,user_17,The latest phone has same features but costs more. Not worth upgrading.,technology,53,8,2025-04-16,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1033,2025-04-21 13:00:21,user_6,Impressed by the bipartisan effort on the new infrastructure bill!,politics,77,19,2025-04-21,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1034,2025-04-15 13:00:21,user_83,Medical bills are crushing families. System needs reform now!,healthcare,31,4,2025-04-15,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1035,2025-04-13 13:00:21,user_90,Grateful for the healthcare workers during these challenging times!,healthcare,1,0,2025-04-13,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1036,2025-04-18 13:00:21,user_40,New study shows mixed results on treatment effectiveness.,healthcare,49,17,2025-04-18,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1037,2025-04-14 13:00:21,user_92,Medical bills are crushing families. System needs reform now!,healthcare,36,5,2025-04-14,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1038,2025-04-16 13:00:21,user_29,The latest phone has same features but costs more. Not worth upgrading.,technology,15,6,2025-04-16,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1039,2025-04-15 13:00:21,user_42,Impressed by the bipartisan effort on the new infrastructure bill!,politics,17,2,2025-04-15,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1040,2025-04-13 13:00:21,user_89,Disgusted by the corruption in government. We deserve better!,politics,95,12,2025-04-13,disgusted by the corruption in government we deserve better,-0.128,0.218,0.526,0.256,Negative
1041,2025-04-18 13:00:21,user_10,Frustrating to see so little progress on reducing carbon emissions.,climate change,124,40,2025-04-18,frustrating to see so little progress on reducing carbon emissions,-0.0296,0.204,0.585,0.212,Neutral
1042,2025-04-21 13:00:21,user_98,So happy with the new school curriculum focusing on critical thinking!,education,9,3,2025-04-21,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1043,2025-04-15 13:00:21,user_78,So happy with the new school curriculum focusing on critical thinking!,education,72,16,2025-04-15,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1044,2025-04-14 13:00:21,user_42,The latest phone has same features but costs more. Not worth upgrading.,technology,42,15,2025-04-14,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1045,2025-04-18 13:00:21,user_33,So happy with the new school curriculum focusing on critical thinking!,education,20,3,2025-04-18,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1046,2025-04-16 13:00:21,user_91,This new AI assistant is amazing! Saving me hours of work.,technology,13,4,2025-04-16,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1047,2025-04-18 13:00:21,user_39,New study shows mixed results on treatment effectiveness.,healthcare,5,1,2025-04-18,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1048,2025-04-14 13:00:21,user_15,New study shows mixed results on treatment effectiveness.,healthcare,51,9,2025-04-14,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1049,2025-04-15 13:00:21,user_79,Politicians continue to ignore the climate crisis. Shameful!,climate change,119,25,2025-04-15,politicians continue to ignore the climate crisis shameful,-0.8689,0.0,0.338,0.662,Negative
1050,2025-04-15 13:00:21,user_29,Election results announced today. No major surprises.,politics,12,2,2025-04-15,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1051,2025-04-20 13:00:21,user_18,Grateful for the healthcare workers during these challenging times!,healthcare,38,16,2025-04-20,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1052,2025-04-17 13:00:21,user_71,This new AI assistant is amazing! Saving me hours of work.,technology,61,12,2025-04-17,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1053,2025-04-20 13:00:21,user_63,Trees planted today will help our planet breathe tomorrow. #ClimateAction,climate change,1,0,2025-04-20,trees planted today will help our planet breathe tomorrow climateaction,0.4019,0.231,0.769,0.0,Positive
1054,2025-04-14 13:00:21,user_26,So happy with the new school curriculum focusing on critical thinking!,education,13,6,2025-04-14,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1055,2025-04-13 13:00:21,user_84,The latest phone has same features but costs more. Not worth upgrading.,technology,60,27,2025-04-13,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1056,2025-04-18 13:00:21,user_67,So happy with the new school curriculum focusing on critical thinking!,education,17,1,2025-04-18,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1057,2025-04-12 13:00:21,user_60,Trees planted today will help our planet breathe tomorrow. #ClimateAction,climate change,12,2,2025-04-12,trees planted today will help our planet breathe tomorrow climateaction,0.4019,0.231,0.769,0.0,Positive
1058,2025-04-17 13:00:21,user_73,Interesting developments in quantum computing announced today.,technology,10,3,2025-04-17,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1059,2025-04-13 13:00:21,user_67,New study shows mixed results on treatment effectiveness.,healthcare,12,2,2025-04-13,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1060,2025-04-16 13:00:21,user_61,Election results announced today. No major surprises.,politics,23,2,2025-04-16,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1061,2025-04-21 13:00:21,user_93,Budget cuts to education are hurting our children's future. Unacceptable!,education,23,9,2025-04-21,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1062,2025-04-15 13:00:21,user_38,Impressed by the bipartisan effort on the new infrastructure bill!,politics,84,16,2025-04-15,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1063,2025-04-20 13:00:21,user_59,Trees planted today will help our planet breathe tomorrow. #ClimateAction,climate change,41,18,2025-04-20,trees planted today will help our planet breathe tomorrow climateaction,0.4019,0.231,0.769,0.0,Positive
1064,2025-04-20 13:00:21,user_24,Another devastating hurricane. How much more evidence do we need? #ClimateEmergency,climate change,11,3,2025-04-20,another devastating hurricane how much more evidence do we need climateemergency,-0.6486,0.0,0.699,0.301,Negative
1065,2025-04-15 13:00:21,user_66,This new AI assistant is amazing! Saving me hours of work.,technology,18,4,2025-04-15,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1066,2025-04-20 13:00:21,user_78,Impressed by the bipartisan effort on the new infrastructure bill!,politics,298,140,2025-04-20,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1067,2025-04-12 13:00:21,user_86,So proud of youth activists fighting for climate justice!,climate change,29,9,2025-04-12,so proud of youth activists fighting for climate justice,0.6478,0.444,0.392,0.163,Positive
1068,2025-04-12 13:00:21,user_54,This new AI assistant is amazing! Saving me hours of work.,technology,222,108,2025-04-12,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1069,2025-04-15 13:00:21,user_91,This new AI assistant is amazing! Saving me hours of work.,technology,17,6,2025-04-15,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1070,2025-04-18 13:00:21,user_67,The latest phone has same features but costs more. Not worth upgrading.,technology,137,56,2025-04-18,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1071,2025-04-18 13:00:21,user_18,Another devastating hurricane. How much more evidence do we need? #ClimateEmergency,climate change,47,5,2025-04-18,another devastating hurricane how much more evidence do we need climateemergency,-0.6486,0.0,0.699,0.301,Negative
1072,2025-04-17 13:00:21,user_19,Election results announced today. No major surprises.,politics,34,6,2025-04-17,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1073,2025-04-17 13:00:21,user_73,Medical bills are crushing families. System needs reform now!,healthcare,27,12,2025-04-17,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1074,2025-04-16 13:00:21,user_51,Medical bills are crushing families. System needs reform now!,healthcare,20,4,2025-04-16,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1075,2025-04-12 13:00:21,user_6,Grateful for the healthcare workers during these challenging times!,healthcare,51,19,2025-04-12,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1076,2025-04-13 13:00:21,user_99,Grateful for the healthcare workers during these challenging times!,healthcare,99,46,2025-04-13,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1077,2025-04-17 13:00:21,user_82,This new AI assistant is amazing! Saving me hours of work.,technology,32,12,2025-04-17,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1078,2025-04-14 13:00:21,user_60,Election results announced today. No major surprises.,politics,48,15,2025-04-14,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1079,2025-04-13 13:00:21,user_54,Medical bills are crushing families. System needs reform now!,healthcare,14,5,2025-04-13,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1080,2025-04-19 13:00:21,user_22,Interesting developments in quantum computing announced today.,technology,238,85,2025-04-19,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1081,2025-04-17 13:00:21,user_65,Medical bills are crushing families. System needs reform now!,healthcare,69,23,2025-04-17,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1082,2025-04-15 13:00:21,user_62,Election results announced today. No major surprises.,politics,45,11,2025-04-15,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1083,2025-04-20 13:00:21,user_83,Interesting developments in quantum computing announced today.,technology,210,72,2025-04-20,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1084,2025-04-18 13:00:21,user_22,Budget cuts to education are hurting our children's future. Unacceptable!,education,93,19,2025-04-18,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1085,2025-04-16 13:00:21,user_14,Impressed by the bipartisan effort on the new infrastructure bill!,politics,36,5,2025-04-16,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1086,2025-04-14 13:00:21,user_81,So happy with the new school curriculum focusing on critical thinking!,education,49,10,2025-04-14,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1087,2025-04-17 13:00:21,user_20,So happy with the new school curriculum focusing on critical thinking!,education,111,45,2025-04-17,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1088,2025-04-14 13:00:21,user_37,Climate conference scheduled for next month in Geneva. #ClimateChange,climate change,3,1,2025-04-14,climate conference scheduled for next month in geneva climatechange,0.0,0.0,1.0,0.0,Neutral
1089,2025-04-15 13:00:21,user_14,Interesting developments in quantum computing announced today.,technology,1,0,2025-04-15,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1090,2025-04-19 13:00:21,user_56,Frustrating to see so little progress on reducing carbon emissions.,climate change,35,9,2025-04-19,frustrating to see so little progress on reducing carbon emissions,-0.0296,0.204,0.585,0.212,Neutral
1091,2025-04-20 13:00:21,user_73,Medical bills are crushing families. System needs reform now!,healthcare,8,1,2025-04-20,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1092,2025-04-15 13:00:21,user_72,Impressed by the bipartisan effort on the new infrastructure bill!,politics,69,10,2025-04-15,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1093,2025-04-15 13:00:21,user_23,University enrollment numbers remain stable compared to last year.,education,46,18,2025-04-15,university enrollment numbers remain stable compared to last year,0.296,0.216,0.784,0.0,Positive
1094,2025-04-19 13:00:21,user_69,Election results announced today. No major surprises.,politics,73,12,2025-04-19,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1095,2025-04-21 13:00:21,user_86,Disgusted by the corruption in government. We deserve better!,politics,122,30,2025-04-21,disgusted by the corruption in government we deserve better,-0.128,0.218,0.526,0.256,Negative
1096,2025-04-13 13:00:21,user_89,Impressed by the bipartisan effort on the new infrastructure bill!,politics,2,0,2025-04-13,impressed by the bipartisan effort on the new infrastructure bill,0.4767,0.256,0.744,0.0,Positive
1097,2025-04-19 13:00:21,user_58,So happy with the new school curriculum focusing on critical thinking!,education,4,1,2025-04-19,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1098,2025-04-14 13:00:21,user_43,So happy with the new school curriculum focusing on critical thinking!,education,83,19,2025-04-14,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1099,2025-04-21 13:00:21,user_68,Trees planted today will help our planet breathe tomorrow. #ClimateAction,climate change,42,14,2025-04-21,trees planted today will help our planet breathe tomorrow climateaction,0.4019,0.231,0.769,0.0,Positive
1100,2025-04-19 13:00:21,user_61,The latest phone has same features but costs more. Not worth upgrading.,technology,8,2,2025-04-19,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1101,2025-04-17 13:00:21,user_93,Budget cuts to education are hurting our children's future. Unacceptable!,education,95,17,2025-04-17,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1102,2025-04-21 13:00:21,user_15,Excited about new breakthroughs in renewable energy! #ClimateAction,climate change,56,26,2025-04-21,excited about new breakthroughs in renewable energy climateaction,0.5423,0.429,0.571,0.0,Positive
1103,2025-04-19 13:00:21,user_19,Disgusted by the corruption in government. We deserve better!,politics,53,11,2025-04-19,disgusted by the corruption in government we deserve better,-0.128,0.218,0.526,0.256,Negative
1104,2025-04-13 13:00:21,user_14,This new AI assistant is amazing! Saving me hours of work.,technology,62,11,2025-04-13,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1105,2025-04-19 13:00:21,user_6,Scientists continue to monitor sea level changes due to climate change.,climate change,17,2,2025-04-19,scientists continue to monitor sea level changes due to climate change,0.0,0.0,1.0,0.0,Neutral
1106,2025-04-19 13:00:21,user_43,Another devastating hurricane. How much more evidence do we need? #ClimateEmergency,climate change,35,10,2025-04-19,another devastating hurricane how much more evidence do we need climateemergency,-0.6486,0.0,0.699,0.301,Negative
1107,2025-04-18 13:00:21,user_20,Grateful for the healthcare workers during these challenging times!,healthcare,3,1,2025-04-18,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1108,2025-04-20 13:00:21,user_68,Interesting developments in quantum computing announced today.,technology,112,46,2025-04-20,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1109,2025-04-15 13:00:21,user_66,So happy with the new school curriculum focusing on critical thinking!,education,13,1,2025-04-15,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1110,2025-04-12 13:00:21,user_77,This new AI assistant is amazing! Saving me hours of work.,technology,1,0,2025-04-12,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1111,2025-04-15 13:00:21,user_100,Another devastating hurricane. How much more evidence do we need? #ClimateEmergency,climate change,20,7,2025-04-15,another devastating hurricane how much more evidence do we need climateemergency,-0.6486,0.0,0.699,0.301,Negative
1112,2025-04-13 13:00:21,user_3,Studies show varying impacts of climate change across different regions.,climate change,38,12,2025-04-13,studies show varying impacts of climate change across different regions,0.0,0.0,1.0,0.0,Neutral
1113,2025-04-18 13:00:21,user_4,This new AI assistant is amazing! Saving me hours of work.,technology,55,25,2025-04-18,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1114,2025-04-21 13:00:21,user_68,Politicians continue to ignore the climate crisis. Shameful!,climate change,165,19,2025-04-21,politicians continue to ignore the climate crisis shameful,-0.8689,0.0,0.338,0.662,Negative
1115,2025-04-13 13:00:21,user_24,Climate conference scheduled for next month in Geneva. #ClimateChange,climate change,79,29,2025-04-13,climate conference scheduled for next month in geneva climatechange,0.0,0.0,1.0,0.0,Neutral
1116,2025-04-15 13:00:21,user_12,New study shows mixed results on treatment effectiveness.,healthcare,2,0,2025-04-15,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1117,2025-04-19 13:00:21,user_19,Medical bills are crushing families. System needs reform now!,healthcare,61,9,2025-04-19,medical bills are crushing families system needs reform now,-0.3612,0.0,0.762,0.238,Negative
1118,2025-04-19 13:00:21,user_63,Frustrating to see so little progress on reducing carbon emissions.,climate change,86,27,2025-04-19,frustrating to see so little progress on reducing carbon emissions,-0.0296,0.204,0.585,0.212,Neutral
1119,2025-04-14 13:00:21,user_59,Grateful for the healthcare workers during these challenging times!,healthcare,14,6,2025-04-14,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1120,2025-04-17 13:00:21,user_78,Grateful for the healthcare workers during these challenging times!,healthcare,35,14,2025-04-17,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1121,2025-04-20 13:00:21,user_26,Scientists continue to monitor sea level changes due to climate change.,climate change,186,53,2025-04-20,scientists continue to monitor sea level changes due to climate change,0.0,0.0,1.0,0.0,Neutral
1122,2025-04-21 13:00:21,user_49,Election results announced today. No major surprises.,politics,44,7,2025-04-21,election results announced today no major surprises,-0.0772,0.209,0.549,0.242,Negative
1123,2025-04-13 13:00:21,user_28,Frustrating to see so little progress on reducing carbon emissions.,climate change,16,7,2025-04-13,frustrating to see so little progress on reducing carbon emissions,-0.0296,0.204,0.585,0.212,Neutral
1124,2025-04-15 13:00:21,user_58,New study shows mixed results on treatment effectiveness.,healthcare,19,5,2025-04-15,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1125,2025-04-15 13:00:21,user_93,New study shows mixed results on treatment effectiveness.,healthcare,29,8,2025-04-15,new study shows mixed results on treatment effectiveness,0.0,0.0,1.0,0.0,Neutral
1126,2025-04-21 13:00:21,user_15,Budget cuts to education are hurting our children's future. Unacceptable!,education,16,2,2025-04-21,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1127,2025-04-17 13:00:21,user_69,Another devastating hurricane. How much more evidence do we need? #ClimateEmergency,climate change,42,16,2025-04-17,another devastating hurricane how much more evidence do we need climateemergency,-0.6486,0.0,0.699,0.301,Negative
1128,2025-04-18 13:00:21,user_67,Grateful for the healthcare workers during these challenging times!,healthcare,1,0,2025-04-18,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1129,2025-04-19 13:00:21,user_13,University enrollment numbers remain stable compared to last year.,education,10,1,2025-04-19,university enrollment numbers remain stable compared to last year,0.296,0.216,0.784,0.0,Positive
1130,2025-04-16 13:00:21,user_4,So happy with the new school curriculum focusing on critical thinking!,education,8,1,2025-04-16,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1131,2025-04-14 13:00:21,user_77,So proud of youth activists fighting for climate justice!,climate change,15,3,2025-04-14,so proud of youth activists fighting for climate justice,0.6478,0.444,0.392,0.163,Positive
1132,2025-04-13 13:00:21,user_7,Grateful for the healthcare workers during these challenging times!,healthcare,92,11,2025-04-13,grateful for the healthcare workers during these challenging times,0.5574,0.397,0.603,0.0,Positive
1133,2025-04-20 13:00:21,user_31,This new AI assistant is amazing! Saving me hours of work.,technology,18,4,2025-04-20,this new ai assistant is amazing saving me hours of work,0.5859,0.275,0.725,0.0,Positive
1134,2025-04-21 13:00:21,user_5,So proud of youth activists fighting for climate justice!,climate change,28,13,2025-04-21,so proud of youth activists fighting for climate justice,0.6478,0.444,0.392,0.163,Positive
1135,2025-04-13 13:00:21,user_66,So happy with the new school curriculum focusing on critical thinking!,education,8,1,2025-04-13,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
1136,2025-04-17 13:00:21,user_52,Budget cuts to education are hurting our children's future. Unacceptable!,education,54,24,2025-04-17,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1137,2025-04-16 13:00:21,user_95,Interesting developments in quantum computing announced today.,technology,113,51,2025-04-16,interesting developments in quantum computing announced today,0.4019,0.31,0.69,0.0,Positive
1138,2025-04-20 13:00:21,user_20,University enrollment numbers remain stable compared to last year.,education,17,2,2025-04-20,university enrollment numbers remain stable compared to last year,0.296,0.216,0.784,0.0,Positive
1139,2025-04-14 13:00:21,user_8,Budget cuts to education are hurting our children's future. Unacceptable!,education,63,21,2025-04-14,budget cuts to education are hurting our childrens future unacceptable,-0.7845,0.0,0.47,0.53,Negative
1140,2025-04-18 13:00:21,user_52,The latest phone has same features but costs more. Not worth upgrading.,technology,74,25,2025-04-18,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1141,2025-04-19 13:00:21,user_35,The latest phone has same features but costs more. Not worth upgrading.,technology,50,13,2025-04-19,the latest phone has same features but costs more not worth upgrading,-0.3435,0.0,0.82,0.18,Negative
1142,2025-04-18 13:00:21,user_95,Climate conference scheduled for next month in Geneva. #ClimateChange,climate change,25,11,2025-04-18,climate conference scheduled for next month in geneva climatechange,0.0,0.0,1.0,0.0,Neutral
1143,2025-04-19 13:00:21,user_4,So happy with the new school curriculum focusing on critical thinking!,education,56,12,2025-04-19,so happy with the new school curriculum focusing on critical thinking,0.4005,0.261,0.589,0.15,Positive
